Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Vol,Pontos_Ganhos,Pontos_Acumulados
29/09/2025,Ame,2,1,Vol,Belo Horizonte - MG,Empate,0,0
24/09/2025,Vol,2,1,Rem,Volta Redonda - RJ,Vitoria,3,3
20/09/2025,Ama,1,0,Vol,Manaus - AM,Empate,0,3
12/09/2025,Vol,0,0,Cri,Volta Redonda - RJ,Empate,1,4
05/09/2025,Pay,1,2,Vol,Belem - PA,Vitoria,3,7
31/08/2025,Vol,0,2,Ath,Volta Redonda - RJ,Empate,0,7
24/08/2025,Fer,0,0,Vol,Araraquara - SP,Empate,1,8
18/08/2025,Vol,0,1,Crb,Volta Redonda - RJ,Empate,0,8
09/08/2025,Vol,0,0,Gre,Volta Redonda - RJ,Empate,1,9
04/08/2025,Cui,2,0,Vol,Cuiaba - MT,Empate,0,9
27/07/2025,Vol,2,1,Vil,Volta Redonda - RJ,Vitoria,3,12
23/07/2025,Cha,4,2,Vol,Chapeco - SC,Empate,0,12
19/07/2025,Vol,3,2,Ath,Volta Redonda - RJ,Vitoria,3,15
14/07/2025,Bot,0,0,Vol,Ribeirao Preto - SP,Empate,1,16
04/07/2025,Cor,2,0,Vol,Curitiba - PR,Empate,0,16
29/06/2025,Vol,1,0,Ope,Volta Redonda - RJ,Vitoria,3,19
22/06/2025,Atl,2,0,Vol,Goiania - GO,Empate,0,19
17/06/2025,Vol,1,1,Ava,Volta Redonda - RJ,Empate,1,20
08/06/2025,Goi,2,0,Vol,Goiania - GO,Empate,0,20
01/06/2025,Vol,1,0,Ame,Volta Redonda - RJ,Vitoria,3,23
24/05/2025,Rem,1,1,Vol,Belem - PA,Empate,1,24
19/05/2025,Vol,1,1,Ama,Volta Redonda - RJ,Empate,1,25
11/05/2025,Cri,0,0,Vol,Criciuma - SC,Empate,1,26
03/05/2025,Vol,1,0,Pay,Volta Redonda - RJ,Vitoria,3,29
27/04/2025,Ath,2,1,Vol,Belo Horizonte - MG,Empate,0,29
22/04/2025,Vol,0,0,Fer,Volta Redonda - RJ,Empate,1,30
17/04/2025,Crb,1,0,Vol,Maceio - AL,Empate,0,30
12/04/2025,Gre,1,0,Vol,Novo Horizonte - SP,Empate,0,30
06/04/2025,Vol,0,1,Cui,Volta Redonda - RJ,Empate,0,30
