Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_For,Pontos_Ganhos,Pontos_Acumulados
02/10/2025,For,0,2,Sao,Fortaleza - CE,Derrota,0,0
27/09/2025,For,1,0,Spo,Arena Castelao,Vitoria,3,3
20/09/2025,Pal,4,1,For,Allianz Parque,Derrota,0,3
13/09/2025,For,2,0,Vit,Arena Castelao,Vitoria,3,6
31/08/2025,Int,2,1,For,Beira,Derrota,0,6
24/08/2025,For,0,1,Mir,Arena Castelao,Derrota,0,6
16/08/2025,Flu,2,1,For,Maracana,Derrota,0,6
09/08/2025,For,0,5,Bot,Arena Castelao,Derrota,0,6
03/08/2025,Cor,1,1,For,Neo Quimica Arena,Empate,1,7
26/07/2025,For,3,1,Red,Arena Castelao,Empate,3,10
19/07/2025,For,1,1,Bah,Arena Castelao,Empate,1,11
29/07/2025,Gre,2,1,For,Arena do Gremio,Derrota,0,11
13/07/2025,For,0,1,Cea,Arena Castelao,Derrota,0,11
12/06/2025,For,2,3,San,Arena Castelao,Derrota,0,11
01/06/2025,Fla,5,0,For,Maracana,Derrota,0,11
25/05/2025,For,0,2,Cru,Arena Castelao,Derrota,0,11
17/05/2025,Vas,3,0,For,Sao Januario,Derrota,0,11
10/05/2025,For,5,0,Juv,Presidente Vargas,Empate,3,14
02/05/2025,Sao,0,0,For,Morumbi,Empate,1,15
26/04/2025,Spo,0,0,For,Ilha do Retiro,Empate,1,16
20/04/2025,For,1,2,Pal,Arena Castelao,Derrota,0,16
16/04/2025,Vit,2,1,For,Manoel Barradas,Derrota,0,16
13/04/2025,For,0,0,Int,Arena Castelao,Empate,1,17
06/04/2025,Mir,1,1,For,Jose Maria de Campos Maia,Empate,1,18
29/03/2025,For,2,0,Flu,Arena Castelao,Empate,3,21
