Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Bah,Pontos_Ganhos,Pontos_Acumulados
28/09/2025,Bah,1,0,Pal,Arena Fonte Nova,V,3,3
20/09/2025,Cea,1,1,Bah,Arena Castelão,E,1,4
15/09/2025,Bah,1,2,Cru,Arena Fonte Nova,D,0,4
31/08/2025,Mir,5,1,Bah,José Maria de Campos Maia,D,0,4
24/08/2025,Bah,2,0,San,Arena Fonte Nova,V,3,7
16/08/2025,Cor,1,2,Bah,Neo Química Arena,V,3,10
09/08/2025,Bah,3,3,Flu,Arena Fonte Nova,E,1,11
02/08/2025,Spo,0,0,Bah,Ilha do Retiro,E,1,12
27/07/2025,Bah,3,0,Juv,Arena Fonte Nova,V,3,15
24/09/2025,Vas,3,1,Bah,São Januário,D,0,15
19/07/2025,For,1,1,Bah,Arena Castelão,E,1,16
12/07/2025,Bah,2,1,Atl,Arena Fonte Nova,V,3,19
12/06/2025,Red,0,3,Bah,Cícero de Souza Marques,V,3,22
31/05/2025,Bah,2,1,São,Arena Fonte Nova,V,3,25
25/05/2025,Grê,1,0,Bah,Arena do Grêmio,D,0,25
18/05/2025,Bah,2,1,Vit,Arena Fonte Nova,V,3,28
10/05/2025,Fla,1,0,Bah,Maracanã,D,0,28
03/05/2025,Bah,1,0,Bot,Arena Fonte Nova,V,3,31
27/04/2025,Pal,0,1,Bah,Allianz Parque,V,3,34
21/04/2025,Bah,1,0,Cea,Arena Fonte Nova,V,3,37
17/04/2025,Cru,3,0,Bah,Mineirão,D,0,37
13/04/2025,Bah,1,1,Mir,Arena Fonte Nova,E,1,38
06/04/2025,San,2,2,Bah,Vila Belmiro,E,1,39
30/03/2025,Bah,1,1,Cor,Arena Fonte Nova,E,1,40
