Data,mandante,placar, visitante,vencedor,Rodada,Competição
5/4/2025,Milan,2-2,Fiorentina,Empate,R31,Serie A 24/25
6/10/2024,Fiorentina,1-2,Milan,Milan,R7,Serie A 24/25
30/3/2024,Fiorentina,2-1,Milan,Fiorentina,R30,Serie A 23/24
25/11/2023,Milan,1-0,Fiorentina,Milan,R13,Serie A 23/24
4/3/2023,Fiorentina,1-1,Milan,Empate,R25,Serie A 22/23
13/11/2022,Milan,1-2,Fiorentina,Fiorentina,R15,Serie A 22/23
1/5/2022,Milan,1-0,Fiorentina,Milan,R35,Serie A 21/22
20/11/2021,Fiorentina,3-4,Milan,Milan,R13,Serie A 21/22
21/3/2021,Fiorentina,3-2,Milan,Fiorentina,R28,Serie A 20/21
29/11/2020,Milan,2-0,Fiorentina,Milan,R9,Serie A 20/21
22/2/2020,Fiorentina,1-0,Milan,Fiorentina,R25,Serie A 19/20
29/9/2019,Milan,3-1,Fiorentina,Milan,R6,Serie A 19/20
11/5/2019,Fiorentina,0-1,Milan,Milan,R36,Serie A 18/19
22/12/2018,Milan,0-1,Fiorentina,Fiorentina,R17,Serie A 18/19
20/5/2018,Milan,1-5,Fiorentina,Fiorentina,R38,Serie A 17/18
30/12/2017,Fiorentina,1-1,Milan,Empate,R19,Serie A 17/18
19/2/2017,Milan,1-2,Fiorentina,Fiorentina,R25,Serie A 16/17
25/9/2016,Fiorentina,0-0,Milan,Empate,R6,Serie A 16/17
17/1/2016,Milan,2-0,Fiorentina,Milan,R20,Serie A 15/16
23/8/2015,Fiorentina,2-0,Milan,Fiorentina,R1,Serie A 15/16
