Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Mir,Pontos_Ganhos,Pontos_Acumulados
5/6/2025,Cor,3,0,Mir,Arena,Derrota,0,43
1/10/2025,Mir,1,1,Red,Mirassol - SP,Empate,1,43
27/09/2025,Atl,1,0,Mir,ARENA MRV,Derrota,0,42
21/09/2025,Mir,2,0,Juv,Jose Maria de Campos Maia,Vitoria,3,42
13/09/2025,Gre,0,1,Mir,Arena do Gremio,Vitoria,3,39
31/08/2025,Mir,5,1,Bah,Jose Maria de Campos Maia,Empate,3,36
24/08/2025,For,0,1,Mir,Arena Castelao,Empate,3,33
18/08/2025,Mir,1,1,Cru,Jose Maria de Campos Maia,Empate,1,30
9/8/2025,Fla,2,1,Mir,Maracana,Derrota,0,29
2/8/2025,Mir,3,2,Vas,Jose Maria de Campos Maia,Empate,3,29
26/07/2025,Mir,1,1,Vit,Jose Maria de Campos Maia,Empate,1,26
23/07/2025,Cea,0,2,Mir,Arena Castelao,Empate,3,25
19/07/2025,Mir,3,0,San,Jose Maria de Campos Maia,Empate,3,22
16/07/2025,Pal,1,1,Mir,Allianz Parque,Empate,1,19
17/09/2025,Bot,3,3,Mir,Nilton Santos,Empate,1,18
1/6/2025,Mir,1,0,Spo,Jose Maria de Campos Maia,Empate,3,17
24/05/2025,Sao,0,2,Mir,Morumbi,Empate,3,14
18/05/2025,Int,1,1,Mir,Beira,Empate,1,11
10/5/2025,Mir,2,1,Cor,Jose Maria de Campos Maia,Empate,3,10
5/5/2025,Red,1,0,Mir,Cicero de Souza Marques,Derrota,0,7
26/04/2025,Mir,2,2,Atl,Jose Maria de Campos Maia,Empate,1,7
20/04/2025,Juv,2,2,Mir,Alfredo Jaconi,Empate,1,6
16/04/2025,Mir,4,1,Gre,Jose Maria de Campos Maia,Empate,3,5
13/04/2025,Bah,1,1,Mir,Arena Fonte Nova,Empate,1,2
6/4/2025,Mir,1,1,For,Jose Maria de Campos Maia,Empate,1,1
29/03/2025,Cru,2,1,Mir,Mineirao,Derrota,0,0
